Id,Year of Birth,Gender,Child's First Name,Count
1,2011,FEMALE,GERALDINE,13
2,2011,FEMALE,GIA,21
3,2011,FEMALE,GIANNA,49
4,2011,FEMALE,GISELLE,38
5,2011,FEMALE,GRACE,36
6,2011,FEMALE,GUADALUPE,26
7,2011,FEMALE,HAILEY,126
8,2011,FEMALE,HALEY,14
9,2011,FEMALE,HANNAH,17
10,2011,FEMALE,HAYLEE,17
11,2011,FEMALE,HAYLEY,13
12,2011,FEMALE,HAZEL,10
13,2011,FEMALE,HEAVEN,15
14,2011,FEMALE,HEIDI,15
15,2011,FEMALE,HEIDY,16
16,2011,FEMALE,HELEN,13
17,2011,FEMALE,IMANI,11
18,2011,FEMALE,INGRID,11
19,2011,FEMALE,IRENE,11
20,2011,FEMALE,IRIS,10
21,2011,FEMALE,ISABEL,28
22,2011,FEMALE,ISABELA,10
23,2011,FEMALE,ISABELLA,331
24,2011,FEMALE,ISABELLE,18
25,2011,FEMALE,ISIS,13
26,2011,FEMALE,ITZEL,27
27,2011,FEMALE,IZABELLA,23
28,2011,FEMALE,JACQUELINE,30
29,2011,FEMALE,JADA,21
30,2011,FEMALE,JADE,50
31,2011,FEMALE,JAELYNN,11
32,2011,FEMALE,JAMIE,11
33,2011,FEMALE,JANELLE,12
34,2011,FEMALE,JASLENE,11
35,2011,FEMALE,JASMIN,20
36,2011,FEMALE,JASMINE,41
37,2011,FEMALE,JAYDA,10
38,2011,FEMALE,JAYLA,33
39,2011,FEMALE,JAYLAH,12
40,2011,FEMALE,JAYLEEN,51
41,2011,FEMALE,JAYLENE,22
42,2011,FEMALE,JAYLIN,13
43,2011,FEMALE,JAYLYN,10
44,2011,FEMALE,JAZLYN,16
45,2011,FEMALE,JAZMIN,24
46,2011,FEMALE,JAZMINE,14
47,2011,FEMALE,JENNIFER,59
48,2011,FEMALE,JESSICA,46
49,2011,FEMALE,JIMENA,11
50,2011,FEMALE,JOCELYN,46
51,2011,FEMALE,JOHANNA,12
52,2011,FEMALE,JOSELYN,30
53,2011,FEMALE,JULIA,22
54,2011,FEMALE,JULIANA,16
55,2011,FEMALE,JULIANNA,21
56,2011,FEMALE,JULIET,20
57,2011,FEMALE,JULIETTE,15
58,2011,FEMALE,JULISSA,16
59,2011,FEMALE,KAELYN,11
60,2011,FEMALE,KAILEY,20
61,2011,FEMALE,KAILYN,11
62,2011,FEMALE,KAITLYN,31
63,2011,FEMALE,KAMILA,36
64,2011,FEMALE,KAREN,41
65,2011,FEMALE,KARLA,25
66,2011,FEMALE,KATE,27
67,2011,FEMALE,KATELYN,23
68,2011,FEMALE,KATELYNN,10
69,2011,FEMALE,KATHERINE,60
70,2011,FEMALE,KATIE,12
71,2011,FEMALE,KAYLA,62
72,2011,FEMALE,KAYLEE,83
73,2011,FEMALE,KAYLEEN,19
74,2011,FEMALE,KAYLEIGH,10
75,2011,FEMALE,KAYLIE,15
76,2011,FEMALE,KAYLIN,12
77,2011,FEMALE,KEILY,17
78,2011,FEMALE,KELLY,41
79,2011,FEMALE,KEYLA,12
80,2011,FEMALE,KHLOE,57
81,2011,FEMALE,KIARA,36
82,2011,FEMALE,KIMBERLY,103
83,2011,FEMALE,KRYSTAL,13
84,2011,FEMALE,KYLEE,10
85,2011,FEMALE,KYLIE,37
86,2011,FEMALE,LAILA,29
87,2011,FEMALE,LAURA,14
88,2011,FEMALE,LAUREN,21
89,2011,FEMALE,LAYLA,52
90,2011,FEMALE,LEA,10
91,2011,FEMALE,LEAH,123
92,2011,FEMALE,LEILA,20
93,2011,FEMALE,LEILANI,33
94,2011,FEMALE,LESLEY,12
95,2011,FEMALE,LESLIE,66
96,2011,FEMALE,LESLY,16
97,2011,FEMALE,LEYLA,10
98,2011,FEMALE,LIA,26
99,2011,FEMALE,LIANA,18
100,2011,FEMALE,LILIANA,28
101,2011,FEMALE,LILY,21
102,2011,FEMALE,LINDSAY,12
103,2011,FEMALE,LIZBETH,30
104,2011,FEMALE,LONDON,27
105,2011,FEMALE,LUCIA,20
106,2011,FEMALE,LUNA,24
107,2011,FEMALE,LUZ,25
108,2011,FEMALE,MADELINE,15
109,2011,FEMALE,MADELYN,16
110,2011,FEMALE,MADISON,122
111,2011,FEMALE,MAKAYLA,32
112,2011,FEMALE,MARIA,59
113,2011,FEMALE,MARIAH,33
114,2011,FEMALE,MARIANA,12
115,2011,FEMALE,MARILYN,10
116,2011,FEMALE,MARISOL,10
117,2011,FEMALE,MAYA,49
118,2011,FEMALE,MEGAN,11
119,2011,FEMALE,MELANIE,109
120,2011,FEMALE,MELANY,14
121,2011,FEMALE,MELISSA,50
122,2011,FEMALE,MELODY,23
123,2011,FEMALE,MIA,229
124,2011,FEMALE,MIAH,17
125,2011,FEMALE,MICHELLE,51
126,2011,FEMALE,MIKAELA,14
127,2011,FEMALE,MIKAYLA,26
128,2011,FEMALE,MILA,19
129,2011,FEMALE,MILEY,17
130,2011,FEMALE,MIRANDA,11
131,2011,FEMALE,MIRIAM,11
132,2011,FEMALE,MYA,29
133,2011,FEMALE,NADIA,14
134,2011,FEMALE,NANCY,10
135,2011,FEMALE,NAOMI,22
136,2011,FEMALE,NATALIA,50
137,2011,FEMALE,NATALIE,46
138,2011,FEMALE,NATALY,13
139,2011,FEMALE,NATASHA,11
140,2011,FEMALE,NATHALIA,10
141,2011,FEMALE,NATHALIE,26
142,2011,FEMALE,NATHALY,20
143,2011,FEMALE,NAYELI,17
144,2011,FEMALE,NEVAEH,32
145,2011,FEMALE,NICOLE,71
146,2011,FEMALE,NINA,11
147,2011,FEMALE,NOEMI,11
148,2011,FEMALE,NYLA,16
149,2011,FEMALE,OLIVIA,86
150,2011,FEMALE,PAOLA,10
151,2011,FEMALE,PENELOPE,14
152,2011,FEMALE,PERLA,12
153,2011,FEMALE,RACHEL,25
154,2011,FEMALE,RAQUEL,11
155,2011,FEMALE,REBECCA,10
156,2011,FEMALE,RIHANNA,21
157,2011,FEMALE,RILEY,12
158,2011,FEMALE,ROSA,10
159,2011,FEMALE,ROSE,11
160,2011,FEMALE,ROSELYN,16
161,2011,FEMALE,RUBY,20
162,2011,FEMALE,SABRINA,25
163,2011,FEMALE,SADIE,11
164,2011,FEMALE,SAMANTHA,100
165,2011,FEMALE,SAMARA,12
166,2011,FEMALE,SARA,29
167,2011,FEMALE,SARAH,53
168,2011,FEMALE,SARAI,24
169,2011,FEMALE,SARIAH,10
170,2011,FEMALE,SASHA,10
171,2011,FEMALE,SAVANNA,10
172,2011,FEMALE,SAVANNAH,38
173,2011,FEMALE,SCARLET,29
174,2011,FEMALE,SCARLETT,65
175,2011,FEMALE,SELENA,15
176,2011,FEMALE,SERENITY,37
177,2011,FEMALE,SHERLYN,13
178,2011,FEMALE,SHIRLEY,15
179,2011,FEMALE,SIENNA,17
180,2011,FEMALE,SKYLA,21
181,2011,FEMALE,SKYLAR,12
182,2011,FEMALE,SOFIA,165
183,2011,FEMALE,SOPHIA,223
184,2011,FEMALE,SOPHIE,12
185,2011,FEMALE,STACY,10
186,2011,FEMALE,STELLA,11
187,2011,FEMALE,STEPHANIE,50
188,2011,FEMALE,STEPHANY,11
189,2011,FEMALE,TATIANA,11
190,2011,FEMALE,TAYLOR,13
191,2011,FEMALE,TIANA,11
192,2011,FEMALE,TIFFANY,24
193,2011,FEMALE,VALENTINA,85
194,2011,FEMALE,VALERIA,45
195,2011,FEMALE,VALERIE,53
196,2011,FEMALE,VANESSA,42
197,2011,FEMALE,VERONICA,10
198,2011,FEMALE,VICTORIA,114
199,2011,FEMALE,VIOLET,14
200,2011,FEMALE,VIVIANA,11
201,2011,FEMALE,WENDY,12
202,2011,FEMALE,XIMENA,18
203,2011,FEMALE,YAMILET,11
204,2011,FEMALE,YARETZI,22
205,2011,FEMALE,ZOE,65
206,2011,FEMALE,ZOEY,27
207,2011,FEMALE,ABIGAIL,103
208,2011,FEMALE,ADDISON,19
209,2011,FEMALE,ADELE,22
210,2011,FEMALE,ADELINE,12
211,2011,FEMALE,ADINA,19
212,2011,FEMALE,ADRIANA,29
213,2011,FEMALE,ADRIANNA,18
214,2011,FEMALE,AHUVA,16
215,2011,FEMALE,ALESSANDRA,20
216,2011,FEMALE,ALESSIA,14
217,2011,FEMALE,ALEXA,54
218,2011,FEMALE,ALEXANDRA,109
219,2011,FEMALE,ALEXIS,27
220,2011,FEMALE,ALICE,50
221,2011,FEMALE,ALICIA,11
222,2011,FEMALE,ALINA,11
223,2011,FEMALE,ALISA,14
224,2011,FEMALE,ALIZA,22
225,2011,FEMALE,ALLISON,15
226,2011,FEMALE,ALYSSA,28
227,2011,FEMALE,AMANDA,15
228,2011,FEMALE,AMELIA,62
229,2011,FEMALE,AMELIE,15
230,2011,FEMALE,AMINA,17
231,2011,FEMALE,AMIRA,11
232,2011,FEMALE,AMY,11
233,2011,FEMALE,ANASTASIA,19
234,2011,FEMALE,ANGELICA,10
235,2011,FEMALE,ANGELINA,50
236,2011,FEMALE,ANNA,85
237,2011,FEMALE,ANNABEL,14
238,2011,FEMALE,ANNABELLE,27
239,2011,FEMALE,ARIANA,27
240,2011,FEMALE,ARIANNA,28
241,2011,FEMALE,ARIEL,14
242,2011,FEMALE,ARIELA,10
243,2011,FEMALE,ARIELLA,26
244,2011,FEMALE,ASHLEY,20
245,2011,FEMALE,ATARA,10
246,2011,FEMALE,AUBREY,10
247,2011,FEMALE,AUDREY,26
248,2011,FEMALE,AUTUMN,10
249,2011,FEMALE,AVA,162
250,2011,FEMALE,AVERY,52
251,2011,FEMALE,AVIGAIL,11
252,2011,FEMALE,AVIVA,18
253,2011,FEMALE,AYLA,10
254,2011,FEMALE,BAILA,40
255,2011,FEMALE,BARBARA,12
256,2011,FEMALE,BATSHEVA,20
257,2011,FEMALE,BATYA,15
258,2011,FEMALE,BEATRICE,33
259,2011,FEMALE,BELLA,22
260,2011,FEMALE,BIANCA,10
261,2011,FEMALE,BLAKE,14
262,2011,FEMALE,BLIMA,20
263,2011,FEMALE,BLIMY,23
264,2011,FEMALE,BRACHA,24
265,2011,FEMALE,BREINDY,15
266,2011,FEMALE,BRIANNA,32
267,2011,FEMALE,BRIDGET,14
268,2011,FEMALE,BROOKE,33
269,2011,FEMALE,BROOKLYN,15
270,2011,FEMALE,BRUCHA,19
271,2011,FEMALE,BRUCHY,13
272,2011,FEMALE,BRYNN,14
273,2011,FEMALE,CAITLIN,11
274,2011,FEMALE,CAMERON,11
275,2011,FEMALE,CAROLINE,52
276,2011,FEMALE,CASEY,12
277,2011,FEMALE,CATHERINE,33
278,2011,FEMALE,CECILIA,16
279,2011,FEMALE,CELIA,10
280,2011,FEMALE,CHANA,132
281,2011,FEMALE,CHANY,38
282,2011,FEMALE,CHARLIE,14
283,2011,FEMALE,CHARLOTTE,127
284,2011,FEMALE,CHAVA,46
285,2011,FEMALE,CHAVY,10
286,2011,FEMALE,CHAYA,178
287,2011,FEMALE,CHLOE,95
288,2011,FEMALE,CHRISTINA,14
289,2011,FEMALE,CLAIRE,35
290,2011,FEMALE,CLARA,28
291,2011,FEMALE,COLETTE,14
292,2011,FEMALE,CORA,10
293,2011,FEMALE,DAHLIA,15
294,2011,FEMALE,DAISY,13
295,2011,FEMALE,DALIA,10
296,2011,FEMALE,DANIELA,13
297,2011,FEMALE,DANIELLA,41
298,2011,FEMALE,DANIELLE,15
299,2011,FEMALE,DEVORA,17
300,2011,FEMALE,DEVORAH,44
301,2011,FEMALE,DIANA,13
302,2011,FEMALE,DINA,41
303,2011,FEMALE,DYLAN,20
304,2011,FEMALE,EDEN,24
305,2011,FEMALE,ELEANOR,39
306,2011,FEMALE,ELENA,19
307,2011,FEMALE,ELIANA,36
308,2011,FEMALE,ELISE,13
309,2011,FEMALE,ELISHEVA,14
310,2011,FEMALE,ELIZA,25
311,2011,FEMALE,ELIZABETH,100
312,2011,FEMALE,ELLA,127
313,2011,FEMALE,ELLE,17
314,2011,FEMALE,ELLIANA,11
315,2011,FEMALE,ELLIE,26
316,2011,FEMALE,ELOISE,24
317,2011,FEMALE,EMERSON,16
318,2011,FEMALE,EMILIA,33
319,2011,FEMALE,EMILY,119
320,2011,FEMALE,EMMA,213
321,2011,FEMALE,ERIN,15
322,2011,FEMALE,ESTER,14
323,2011,FEMALE,ESTHER,224
324,2011,FEMALE,ESTY,18
325,2011,FEMALE,ETTY,15
326,2011,FEMALE,EVA,64
327,2011,FEMALE,EVE,22
328,2011,FEMALE,EVELYN,39
329,2011,FEMALE,FAIGA,16
330,2011,FEMALE,FAIGY,72
331,2011,FEMALE,FINLEY,11
332,2011,FEMALE,FIONA,30
333,2011,FEMALE,FRADEL,16
334,2011,FEMALE,FRAIDY,26
335,2011,FEMALE,FRANCESCA,33
336,2011,FEMALE,FRIMET,10
337,2011,FEMALE,GABRIELA,19
338,2011,FEMALE,GABRIELLA,102
339,2011,FEMALE,GABRIELLE,15
340,2011,FEMALE,GEMMA,15
341,2011,FEMALE,GENEVIEVE,12
342,2011,FEMALE,GEORGIA,26
343,2011,FEMALE,GIA,26
344,2011,FEMALE,GIANNA,68
345,2011,FEMALE,GIOVANNA,10
346,2011,FEMALE,GITTEL,23
347,2011,FEMALE,GITTY,82
348,2011,FEMALE,GIULIANA,41
349,2011,FEMALE,GOLDA,14
350,2011,FEMALE,GOLDY,33
351,2011,FEMALE,GRACE,93
352,2011,FEMALE,GRETA,12
353,2011,FEMALE,HADASSA,11
354,2011,FEMALE,HADASSAH,15
355,2011,FEMALE,HAILEY,34
356,2011,FEMALE,HANNA,11
357,2011,FEMALE,HANNAH,71
358,2011,FEMALE,HARPER,30
359,2011,FEMALE,HAZEL,18
360,2011,FEMALE,HENNY,18
361,2011,FEMALE,HINDY,37
362,2011,FEMALE,IDY,10
363,2011,FEMALE,ILANA,10
364,2013,MALE,Jared,25
365,2011,FEMALE,ISABEL,34
366,2011,FEMALE,ISABELLA,160
367,2011,FEMALE,ISABELLE,25
368,2011,FEMALE,ISLA,14
369,2011,FEMALE,IVY,15
370,2011,FEMALE,IZABELLA,10
371,2011,FEMALE,JACQUELINE,20
372,2011,FEMALE,JANE,27
373,2011,FEMALE,JASMINE,14
374,2011,FEMALE,JENNA,22
375,2011,FEMALE,JESSICA,22
376,2011,FEMALE,JORDYN,11
377,2011,FEMALE,JOSEPHINE,33
378,2011,FEMALE,JOYCE,14
379,2011,FEMALE,JULIA,116
380,2011,FEMALE,JULIANA,38
381,2011,FEMALE,JULIANNA,28
382,2011,FEMALE,JULIE,10
383,2011,FEMALE,JULIET,36
384,2011,FEMALE,JULIETTE,23
385,2011,FEMALE,KAITLYN,17
386,2011,FEMALE,ARELY,12
387,2011,FEMALE,KATE,17
388,2011,FEMALE,KATHERINE,44
389,2011,FEMALE,KATHRYN,12
390,2011,FEMALE,KAYLA,45
391,2011,FEMALE,KAYLEE,11
392,2011,FEMALE,KIRA,11
393,2011,FEMALE,KYLIE,13
394,2011,FEMALE,LAILA,23
395,2011,FEMALE,LARA,13
396,2011,FEMALE,LAURA,18
397,2011,FEMALE,LAUREN,26
398,2011,FEMALE,LAYLA,29
399,2011,FEMALE,LEA,29
400,2011,FEMALE,LEAH,183
401,2011,FEMALE,LEILA,10
402,2011,FEMALE,LENA,29
403,2011,FEMALE,LEORA,12
404,2011,FEMALE,LIA,23
405,2011,FEMALE,LIANA,17
406,2011,FEMALE,LIBA,20
407,2011,FEMALE,LIBBY,23
408,2011,FEMALE,LILA,34
409,2011,FEMALE,LILAH,12
410,2011,FEMALE,LILIANA,29
411,2011,FEMALE,LILLIAN,47
412,2011,FEMALE,LILLY,13
413,2011,FEMALE,LILY,81
414,2011,FEMALE,LINA,13
415,2011,FEMALE,LOLA,22
416,2011,FEMALE,LONDON,10
417,2013,MALE,Jariel,25
418,2011,FEMALE,LUCY,47
419,2011,FEMALE,LYLA,21
420,2011,FEMALE,MACKENZIE,18
421,2011,FEMALE,MADELEINE,24
422,2011,FEMALE,MADELINE,39
423,2011,FEMALE,MADELYN,15
424,2011,FEMALE,MADISON,57
425,2011,FEMALE,MAEVE,21
426,2011,FEMALE,MAKAYLA,12
427,2011,FEMALE,MALAK,15
428,2011,FEMALE,MALKA,63
429,2011,FEMALE,MALKY,59
430,2011,FEMALE,MARGARET,25
431,2011,FEMALE,MARIA,39
432,2011,FEMALE,MARIAM,17
433,2011,FEMALE,MARY,16
434,2011,FEMALE,MATILDA,14
435,2011,FEMALE,MAYA,94
436,2011,FEMALE,MELANIE,12
437,2011,FEMALE,MIA,116
438,2011,FEMALE,MICHAELA,15
439,2011,FEMALE,MICHAL,16
440,2011,FEMALE,MICHELLE,35
441,2011,FEMALE,MIKAYLA,12
442,2011,FEMALE,MILA,31
443,2011,FEMALE,MILENA,13
444,2011,FEMALE,MINDY,24
445,2011,FEMALE,MIRI,10
446,2011,FEMALE,MIRIAM,131
447,2011,FEMALE,MOLLY,36
448,2011,FEMALE,MORGAN,20
449,2011,FEMALE,NAOMI,46
450,2011,FEMALE,NATALIA,20
451,2011,FEMALE,NATALIE,40
452,2011,FEMALE,NECHAMA,25
453,2011,FEMALE,NICOLE,45
454,2011,FEMALE,NICOLETTE,10
455,2011,FEMALE,NINA,39
456,2011,FEMALE,NOA,34
457,2011,FEMALE,NORA,23
458,2011,FEMALE,OLIVIA,213
459,2011,FEMALE,PAIGE,13
460,2011,FEMALE,PARKER,13
461,2011,FEMALE,PEARL,23
462,2011,FEMALE,PENELOPE,38
463,2011,FEMALE,PEREL,15
464,2011,FEMALE,PESSY,26
465,2011,FEMALE,PHOEBE,23
466,2011,FEMALE,PIPER,11
467,2011,FEMALE,QUINN,10
468,2011,FEMALE,RACHEL,171
469,2011,FEMALE,RAIZEL,20
470,2011,FEMALE,RAIZY,51
471,2011,FEMALE,REBECCA,54
472,2011,FEMALE,REESE,13
473,2011,FEMALE,RIFKA,12
474,2011,FEMALE,RIFKY,13
475,2011,FEMALE,RILEY,28
476,2011,FEMALE,RIVKA,113
477,2011,FEMALE,RIVKY,43
478,2011,FEMALE,ROCHEL,22
479,2011,FEMALE,ROIZY,13
480,2011,FEMALE,ROSE,35
481,2011,FEMALE,RUBY,28
482,2011,FEMALE,RUCHY,12
483,2011,FEMALE,RUTH,11
484,2011,FEMALE,RYAN,14
485,2011,FEMALE,SABRINA,34
486,2011,FEMALE,SADIE,32
487,2011,FEMALE,SALMA,17
488,2011,FEMALE,SAMANTHA,74
489,2011,FEMALE,SARA,107
490,2011,FEMALE,SARAH,177
491,2011,FEMALE,SASHA,16
492,2011,FEMALE,SAVANNAH,16
493,2011,FEMALE,SCARLETT,31
494,2011,FEMALE,SERENA,16
495,2011,FEMALE,SHAINA,16
496,2011,FEMALE,SHAINDEL,15
497,2011,FEMALE,SHAINDY,48
498,2011,FEMALE,SHEVY,10
499,2011,FEMALE,SHIFRA,20
500,2011,FEMALE,SHIRA,22
501,2011,FEMALE,SHOSHANA,22
502,2011,FEMALE,SIENA,16
503,2011,FEMALE,SIENNA,38
504,2011,FEMALE,SIMA,19
505,2011,FEMALE,SIMI,10
506,2011,FEMALE,SIMONE,15
507,2011,FEMALE,SKYLAR,17
508,2011,FEMALE,SLOANE,17
509,2011,FEMALE,SOFIA,122
510,2011,FEMALE,SOPHIA,180
511,2011,FEMALE,SOPHIE,65
512,2011,FEMALE,STELLA,69
513,2011,FEMALE,SUMMER,16
514,2011,FEMALE,SURI,14
515,2011,FEMALE,SURY,20
516,2011,FEMALE,SYDNEY,35
517,2011,FEMALE,SYLVIA,11
518,2011,FEMALE,TALIA,26
519,2011,FEMALE,TAMAR,11
520,2011,FEMALE,TAYLOR,25
521,2011,FEMALE,TESSA,14
522,2011,FEMALE,TOBY,39
523,2011,FEMALE,TZIPORA,12
524,2011,FEMALE,TZIPORAH,10
525,2011,FEMALE,TZIPPY,10
526,2011,FEMALE,TZIVIA,14
527,2011,FEMALE,VALENTINA,31
528,2011,FEMALE,VALERIE,11
529,2011,FEMALE,VANESSA,14
530,2011,FEMALE,VERA,19
531,2011,FEMALE,VERONICA,22
532,2011,FEMALE,VERONIKA,11
533,2011,FEMALE,VICTORIA,84
534,2011,FEMALE,VIOLET,38
535,2011,FEMALE,VIVIAN,30
536,2011,FEMALE,VIVIENNE,21
537,2011,FEMALE,WILLA,13
538,2011,FEMALE,YACHET,13
539,2011,FEMALE,YAEL,21
540,2011,FEMALE,YASMINE,10
541,2011,FEMALE,YEHUDIS,23
542,2011,FEMALE,YIDES,25
543,2011,FEMALE,YITTY,32
544,2011,FEMALE,YOCHEVED,20
545,2011,FEMALE,ZISSY,25
546,2011,FEMALE,SCARLETT,31
547,2011,FEMALE,ZOEY,21
548,2011,MALE,AARAV,15
549,2011,MALE,AARON,51
550,2011,MALE,ABDUL,20
551,2011,MALE,ABDULLAH,30
552,2011,MALE,ADAM,28
553,2011,MALE,ADITYA,14
554,2011,MALE,ADRIAN,19
555,2011,MALE,AHMED,21
556,2011,MALE,AIDAN,32
557,2011,MALE,AIDEN,96
558,2011,MALE,ALAN,37
559,2011,MALE,ALEX,52
560,2011,MALE,ALEXANDER,47
561,2011,MALE,ALI,13
562,2011,MALE,ALLEN,14
563,2011,MALE,ALVIN,43
564,2011,MALE,ANDREW,70
565,2011,MALE,ANDY,43
566,2011,MALE,ANSON,18
567,2011,MALE,ANTHONY,46
568,2011,MALE,ARJUN,27
569,2011,MALE,ARMAAN,15
570,2011,MALE,ARYAN,18
571,2011,MALE,AUSTIN,64
572,2011,MALE,AYAAN,31
573,2011,MALE,AYDEN,24
574,2011,MALE,BENJAMIN,39
575,2011,MALE,BENSON,19
576,2011,MALE,BRANDON,29
577,2011,MALE,BRIAN,40
578,2011,MALE,BRYAN,15
